id,Predicted
0,0
1,2
2,0
3,1
4,2
5,2
6,3
7,0
8,2
9,0
10,1
11,2
12,0
13,1
14,1
15,1
16,3
17,2
18,3
19,1
20,1
21,4
22,2
23,2
24,0
25,1
26,1
27,4
28,4
29,1
30,1
31,4
32,4
33,4
34,0
35,2
36,4
37,0
38,2
39,3
40,1
41,2
42,1
43,0
44,3
45,0
46,1
47,4
48,1
49,1
50,3
51,1
52,2
53,2
54,4
55,4
56,0
57,4
58,2
59,2
60,3
61,3
62,2
63,4
64,0
65,3
66,2
67,2
68,1
69,1
70,1
71,0
72,1
73,1
74,1
75,2
76,0
77,1
78,1
79,0
80,0
81,1
82,1
83,3
84,4
85,1
86,0
87,1
88,2
89,0
90,4
91,0
92,1
93,3
94,1
95,3
96,1
97,3
98,0
99,3
100,1
101,4
102,2
103,0
104,3
105,4
106,2
107,4
108,3
109,2
110,1
111,2
112,1
113,2
114,1
115,2
116,2
117,2
118,2
119,1
120,0
121,1
122,1
123,3
124,2
125,0
126,2
127,0
128,1
129,4
130,2
131,3
132,2
133,1
134,2
135,2
136,3
137,4
138,2
139,3
140,2
141,1
142,3
143,0
144,2
145,0
146,1
147,1
148,0
149,4
150,1
151,1
152,4
153,3
154,1
155,3
156,4
157,1
158,3
159,3
160,3
161,2
162,0
163,2
164,1
165,1
166,1
167,0
168,0
169,1
170,3
171,2
172,1
173,0
174,1
175,0
176,1
177,0
178,1
179,0
180,1
181,0
182,2
183,4
184,1
185,4
186,0
187,3
188,1
189,1
190,1
191,0
192,2
193,3
194,3
195,2
196,0
197,0
198,4
199,0
200,1
201,0
202,3
203,1
204,2
205,4
206,4
207,2
208,1
209,2
210,1
211,3
212,0
213,3
214,1
215,0
216,2
217,4
218,2
219,2
220,4
221,2
222,0
223,3
224,4
225,2
226,0
227,1
228,4
229,0
230,4
231,0
232,1
233,4
234,0
235,2
236,4
237,0
238,2
239,1
240,4
241,2
242,4
243,1
244,1
245,3
246,0
247,3
248,4
249,4
250,2
251,0
252,4
253,2
254,0
255,4
256,3
257,4
258,2
259,0
260,1
261,2
262,2
263,2
264,1
265,1
266,3
267,2
268,4
269,0
270,1
271,1
272,4
273,3
274,4
275,3
276,0
277,3
278,1
279,2
280,2
281,4
282,2
283,2
284,1
285,4
286,3
287,3
288,0
289,2
290,4
291,4
292,1
293,3
294,0
295,4
296,0
297,4
298,2
299,0
300,1
301,2
302,0
303,2
304,1
305,0
306,0
307,2
308,2
309,4
310,0
311,1
312,2
313,1
314,3
315,1
316,2
317,4
318,0
319,1
320,1
321,4
322,2
323,0
324,1
325,2
326,4
327,1
328,4
329,4
330,2
331,0
332,1
333,1
334,0
335,0
336,4
337,1
338,1
339,2
340,1
341,4
342,2
343,0
344,2
345,1
346,4
347,2
348,4
349,4
350,0
351,1
352,0
353,0
354,4
355,3
356,0
357,4
358,3
359,2
360,0
361,2
362,4
363,1
364,2
365,1
366,3
367,1
368,0
369,4
370,2
371,0
372,1
373,0
374,3
375,1
376,0
377,1
378,0
379,2
380,0
381,2
382,1
383,4
384,0
385,4
386,3
387,2
388,2
389,2
390,4
391,0
392,2
393,4
394,2
395,0
396,2
397,1
398,1
399,2
400,1
401,2
402,2
403,1
404,4
405,4
406,1
407,4
408,1
409,2
410,2
411,0
412,1
413,4
414,2
415,0
416,1
417,0
418,3
419,3
420,4
421,3
422,2
423,3
424,1
425,1
426,2
427,3
428,3
429,3
430,2
431,4
432,2
433,0
434,4
435,4
436,0
437,3
438,2
439,0
440,3
441,2
442,4
443,2
444,4
445,1
446,2
447,2
448,1
449,2
450,0
451,2
452,0
453,3
454,1
455,4
456,0
457,4
458,0
459,1
460,3
461,1
462,4
463,1
464,0
465,3
466,2
467,4
468,1
469,2
470,2
471,3
472,1
473,0
474,1
475,4
476,2
477,3
478,0
479,1
480,3
481,1
482,0
483,3
484,3
485,1
486,2
487,3
488,2
489,1
490,4
491,2
492,2
493,2
494,1
495,0
496,4
497,1
498,2
499,4
500,4
501,2
502,2
503,1
504,0
505,3
506,2
507,2
508,0
509,0
510,0
511,1
512,4
513,1
514,1
515,1
516,2
517,0
518,0
519,1
520,4
521,2
522,2
523,4
524,2
525,0
526,3
527,1
528,4
529,3
530,2
531,0
532,1
533,2
534,0
535,1
536,3
537,3
538,2
539,2
540,1
541,2
542,2
543,4
544,4
545,1
546,1
547,0
548,2
549,1
550,1
551,1
552,1
553,4
554,2
555,3
556,4
557,1
558,1
559,1
560,1
561,0
562,1
563,2
564,1
565,4
566,4
567,1
568,2
569,3
570,1
571,1
572,4
573,3
574,0
575,2
576,0
577,2
578,4
579,0
580,2
581,1
582,0
583,0
584,4
585,1
586,4
587,0
588,1
589,2
590,1
591,1
592,4
593,2
594,2
595,0
596,1
597,2
598,2
599,1
600,1
601,2
602,0
603,1
604,4
605,1
606,0
607,2
608,2
609,2
610,1
611,0
612,2
613,0
614,1
615,0
616,3
617,3
618,2
619,4
620,2
621,0
622,3
623,2
624,3
625,2
626,2
627,1
628,2
629,4
630,1
631,2
632,0
633,4
634,2
635,0
636,3
637,4
638,1
639,0
640,0
641,3
642,0
643,1
644,3
645,2
646,1
647,0
648,4
649,0
650,3
651,2
652,0
653,2
654,4
655,1
656,2
657,0
658,1
659,4
660,2
661,0
662,2
663,3
664,1
665,1
666,4
667,3
668,3
669,1
670,1
671,1
672,1
673,4
674,0
675,3
676,2
677,4
678,2
679,2
680,1
681,4
682,4
683,1
684,2
685,0
686,1
687,0
688,2
689,4
690,1
691,1
692,1
693,1
694,2
695,1
696,4
697,1
698,1
699,1
700,2
701,0
702,3
703,3
704,3
705,1
706,2
707,2
708,4
709,2
710,3
711,3
712,4
713,3
714,1
715,4
716,2
717,2
718,4
719,1
720,0
721,4
722,2
723,4
724,0
725,2
726,1
727,2
728,2
729,0
730,2
731,3
732,1
733,3
734,1
735,1
736,3
737,2
738,1
739,3
740,3
741,2
742,2
743,2
744,1
745,2
746,2
747,2
748,0
749,1
750,4
751,0
752,0
753,1
754,1
755,2
756,3
757,1
758,2
759,0
760,4
761,4
762,0
763,4
764,1
765,2
766,2
767,0
768,4
769,0
770,2
771,2
772,1
773,0
774,1
775,2
776,2
777,1
778,2
779,4
780,4
781,0
782,2
783,1
784,4
785,2
786,0
787,0
788,4
789,1
790,3
791,4
792,1
793,3
794,1
795,1
796,0
797,1
798,2
799,2
800,1
801,1
802,4
803,1
804,4
805,3
806,0
807,2
808,0
809,1
810,2
811,0
812,1
813,2
814,4
815,1
816,2
817,1
818,1
819,4
820,0
821,4
822,3
823,2
824,1
825,1
826,4
827,0
828,2
829,3
830,0
831,2
832,3
833,0
834,1
835,0
836,1
837,4
838,0
839,1
840,2
841,0
842,3
843,0
844,2
845,0
846,0
847,1
848,0
849,1
850,4
851,0
852,4
853,4
854,3
855,2
856,2
857,0
858,0
859,2
860,2
861,0
862,3
863,3
864,4
865,3
866,1
867,2
868,3
869,1
870,0
871,1
872,1
873,0
874,4
875,2
876,1
877,0
878,0
879,2
880,0
881,4
882,3
883,2
884,1
885,2
886,4
887,4
888,4
889,2
890,2
891,4
892,1
893,2
894,4
895,1
896,2
897,4
898,1
899,4
900,0
901,1
902,2
903,1
904,2
905,4
906,1
907,0
908,4
909,3
910,3
911,2
912,1
913,3
914,1
915,1
916,2
917,0
918,4
919,2
920,2
921,2
922,4
923,0
924,0
925,0
926,2
927,4
928,2
929,1
930,1
931,2
932,4
933,4
934,1
935,4
936,1
937,4
938,2
939,4
940,2
941,0
942,1
943,3
944,2
945,0
946,1
947,2
948,3
949,2
950,4
951,3
952,1
953,0
954,4
955,3
956,0
957,0
958,4
959,0
960,4
961,0
962,0
963,4
964,2
965,1
966,3
967,0
968,4
969,4
970,2
971,2
972,1
973,2
974,2
975,2
976,3
977,1
978,1
979,3
980,2
981,3
982,3
983,2
984,3
985,0
986,4
987,2
988,4
989,1
990,4
991,1
992,2
993,2
994,1
995,0
996,4
997,0
998,4
999,4
1000,1
1001,0
1002,2
1003,1
1004,2
1005,0
1006,2
1007,4
1008,2
1009,3
1010,3
1011,4
1012,2
1013,4
1014,0
1015,0
1016,3
1017,3
1018,4
1019,1
1020,2
1021,4
1022,4
1023,3
1024,2
1025,1
1026,1
1027,1
1028,1
1029,0
1030,3
1031,0
1032,0
1033,2
1034,3
1035,4
1036,0
1037,1
1038,1
1039,3
1040,4
1041,1
1042,3
1043,4
1044,2
1045,1
1046,1
1047,1
1048,2
1049,3
1050,3
1051,4
1052,4
1053,2
1054,1
1055,2
1056,0
1057,4
1058,0
1059,1
1060,1
1061,2
1062,2
1063,3
1064,1
1065,4
1066,2
1067,1
1068,1
1069,1
1070,4
1071,2
1072,4
1073,0
1074,2
1075,3
1076,3
1077,0
1078,0
1079,3
1080,3
1081,3
1082,2
1083,2
1084,1
1085,1
1086,0
1087,1
1088,3
1089,4
1090,0
1091,0
1092,1
1093,2
1094,1
1095,4
1096,2
1097,1
1098,2
1099,2
1100,1
1101,4
1102,0
1103,2
1104,4
1105,3
1106,2
1107,4
1108,1
1109,4
1110,0
1111,2
1112,2
1113,0
1114,0
1115,1
1116,4
1117,2
1118,2
1119,4
1120,1
1121,3
1122,0
1123,2
1124,1
1125,2
1126,2
1127,2
1128,3
1129,1
1130,1
1131,3
1132,1
1133,3
1134,1
1135,2
1136,4
1137,0
1138,1
1139,4
1140,4
1141,1
1142,4
1143,2
1144,0
1145,1
1146,0
1147,0
1148,0
1149,1
1150,2
1151,2
1152,3
1153,1
1154,2
1155,3
1156,4
1157,1
1158,4
1159,0
1160,1
1161,2
1162,1
1163,1
1164,2
1165,2
1166,3
1167,2
1168,2
1169,0
1170,2
1171,4
1172,2
1173,1
1174,2
1175,2
1176,2
1177,4
1178,4
1179,3
1180,2
1181,3
1182,2
1183,2
1184,3
1185,1
1186,2
1187,3
1188,0
1189,1
1190,0
1191,2
1192,4
1193,0
1194,3
1195,4
1196,4
1197,1
1198,2
1199,3
1200,1
1201,0
1202,1
1203,2
1204,3
1205,2
1206,2
1207,4
1208,0
1209,1
1210,0
1211,0
1212,1
1213,3
1214,0
1215,4
1216,2
1217,3
1218,3
1219,0
1220,3
1221,4
1222,2
1223,2
1224,1
1225,0
1226,3
1227,3
1228,4
1229,4
1230,4
1231,3
1232,1
1233,2
1234,3
