id,Predicted
0,1
1,0
2,1
3,3
4,0
5,0
6,4
7,1
8,0
9,1
10,5
11,0
12,1
13,3
14,3
15,3
16,4
17,0
18,4
19,3
20,5
21,2
22,5
23,2
24,1
25,4
26,5
27,1
28,1
29,5
30,3
31,4
32,2
33,2
34,1
35,0
36,2
37,1
38,0
39,4
40,5
41,0
42,5
43,1
44,4
45,3
46,5
47,5
48,3
49,5
50,4
51,3
52,2
53,0
54,5
55,1
56,1
57,2
58,0
59,0
60,4
61,4
62,2
63,2
64,1
65,3
66,0
67,0
68,5
69,3
70,3
71,2
72,4
73,3
74,3
75,5
76,1
77,5
78,5
79,1
80,1
81,3
82,3
83,4
84,2
85,3
86,1
87,3
88,0
89,2
90,2
91,3
92,5
93,4
94,4
95,4
96,5
97,4
98,1
99,4
100,3
101,2
102,0
103,1
104,4
105,3
106,0
107,5
108,4
109,0
110,5
111,0
112,5
113,0
114,5
115,0
116,0
117,0
118,0
119,3
120,1
121,5
122,3
123,4
124,2
125,3
126,0
127,1
128,5
129,2
130,0
131,4
132,0
133,3
134,2
135,0
136,4
137,2
138,0
139,4
140,2
141,5
142,4
143,1
144,0
145,0
146,4
147,5
148,1
149,2
150,5
151,3
152,4
153,5
154,3
155,3
156,2
157,3
158,4
159,4
160,4
161,0
162,1
163,0
164,3
165,3
166,3
167,1
168,3
169,5
170,4
171,0
172,3
173,3
174,3
175,5
176,5
177,1
178,5
179,1
180,5
181,0
182,5
183,2
184,3
185,2
186,1
187,3
188,3
189,5
190,1
191,5
192,5
193,4
194,5
195,2
196,1
197,1
198,2
199,1
200,3
201,2
202,4
203,5
204,0
205,2
206,2
207,0
208,3
209,0
210,5
211,3
212,1
213,4
214,5
215,1
216,1
217,1
218,2
219,2
220,2
221,0
222,1
223,4
224,2
225,4
226,1
227,5
228,2
229,1
230,2
231,3
232,3
233,2
234,1
235,5
236,2
237,1
238,0
239,3
240,1
241,5
242,2
243,5
244,5
245,4
246,1
247,3
248,2
249,2
250,0
251,1
252,2
253,0
254,1
255,2
256,4
257,2
258,0
259,1
260,5
261,0
262,4
263,0
264,3
265,3
266,4
267,4
268,2
269,3
270,3
271,5
272,2
273,4
274,0
275,4
276,1
277,4
278,5
279,0
280,0
281,2
282,0
283,0
284,3
285,2
286,4
287,3
288,1
289,0
290,2
291,2
292,5
293,4
294,1
295,1
296,1
297,2
298,0
299,3
300,3
301,0
302,1
303,0
304,1
305,1
306,1
307,0
308,0
309,2
310,5
311,3
312,0
313,5
314,5
315,5
316,0
317,4
318,1
319,5
320,5
321,2
322,5
323,1
324,5
325,5
326,2
327,3
328,2
329,2
330,0
331,1
332,5
333,3
334,1
335,1
336,2
337,3
338,3
339,4
340,5
341,3
342,0
343,1
344,0
345,5
346,2
347,0
348,2
349,1
350,1
351,3
352,1
353,3
354,2
355,3
356,1
357,2
358,1
359,0
360,1
361,5
362,3
363,3
364,5
365,4
366,4
367,3
368,1
369,1
370,0
371,1
372,3
373,1
374,4
375,3
376,1
377,5
378,0
379,0
380,1
381,0
382,5
383,1
384,1
385,5
386,4
387,5
388,0
389,0
390,2
391,1
392,0
393,3
394,0
395,3
396,0
397,5
398,3
399,0
400,4
401,0
402,5
403,3
404,3
405,2
406,1
407,2
408,1
409,2
410,0
411,1
412,5
413,2
414,0
415,0
416,3
417,1
418,4
419,4
420,2
421,4
422,0
423,4
424,3
425,5
426,0
427,4
428,4
429,3
430,0
431,2
432,0
433,1
434,2
435,2
436,5
437,4
438,0
439,1
440,4
441,0
442,5
443,5
444,1
445,2
446,0
447,5
448,3
449,5
450,1
451,5
452,1
453,4
454,5
455,2
456,1
457,5
458,1
459,4
460,4
461,5
462,3
463,3
464,1
465,4
466,2
467,2
468,3
469,0
470,2
471,4
472,3
473,1
474,5
475,5
476,0
477,3
478,1
479,3
480,3
481,5
482,1
483,4
484,4
485,5
486,5
487,4
488,0
489,5
490,2
491,5
492,0
493,0
494,4
495,1
496,2
497,3
498,0
499,2
500,2
501,0
502,5
503,3
504,1
505,3
506,2
507,0
508,1
509,1
510,1
511,5
512,1
513,5
514,3
515,5
516,0
517,1
518,3
519,1
520,0
521,5
522,0
523,1
524,0
525,3
526,5
527,3
528,1
529,5
530,0
531,1
532,3
533,0
534,1
535,3
536,4
537,4
538,0
539,0
540,3
541,0
542,3
543,2
544,2
545,3
546,0
547,1
548,0
549,3
550,3
551,3
552,3
553,2
554,0
555,4
556,1
557,3
558,5
559,5
560,3
561,1
562,1
563,0
564,5
565,3
566,5
567,5
568,0
569,4
570,3
571,5
572,2
573,4
574,1
575,0
576,1
577,5
578,2
579,1
580,2
581,5
582,1
583,1
584,1
585,3
586,2
587,1
588,3
589,0
590,3
591,5
592,2
593,0
594,0
595,1
596,5
597,0
598,2
599,4
600,3
601,0
602,5
603,3
604,5
605,5
606,1
607,0
608,0
609,0
610,5
611,1
612,1
613,1
614,1
615,1
616,4
617,4
618,0
619,0
620,3
621,1
622,4
623,0
624,4
625,0
626,0
627,5
628,5
629,2
630,3
631,0
632,1
633,1
634,0
635,1
636,4
637,2
638,4
639,3
640,2
641,4
642,2
643,5
644,4
645,0
646,3
647,1
648,3
649,1
650,4
651,0
652,1
653,2
654,4
655,4
656,5
657,5
658,3
659,2
660,5
661,1
662,0
663,4
664,3
665,1
666,2
667,4
668,4
669,5
670,5
671,4
672,5
673,2
674,3
675,3
676,0
677,2
678,0
679,5
680,3
681,2
682,2
683,1
684,0
685,1
686,3
687,1
688,0
689,2
690,5
691,3
692,5
693,3
694,3
695,3
696,4
697,5
698,3
699,5
700,2
701,1
702,4
703,4
704,4
705,5
706,0
707,5
708,2
709,0
710,4
711,4
712,5
713,4
714,0
715,4
716,0
717,0
718,2
719,3
720,0
721,2
722,0
723,4
724,1
725,0
726,3
727,2
728,0
729,5
730,0
731,5
732,5
733,1
734,5
735,3
736,4
737,0
738,5
739,3
740,4
741,0
742,0
743,0
744,5
745,0
746,0
747,0
748,1
749,5
750,5
751,1
752,1
753,3
754,0
755,0
756,2
757,3
758,0
759,1
760,1
761,2
762,1
763,2
764,5
765,3
766,2
767,5
768,2
769,2
770,0
771,5
772,3
773,1
774,3
775,2
776,0
777,3
778,5
779,4
780,2
781,1
782,0
783,2
784,2
785,0
786,0
787,1
788,1
789,3
790,4
791,2
792,3
793,4
794,2
795,3
796,2
797,5
798,0
799,0
800,5
801,5
802,2
803,5
804,2
805,4
806,1
807,0
808,0
809,4
810,0
811,1
812,5
813,2
814,2
815,3
816,0
817,1
818,5
819,2
820,1
821,2
822,4
823,0
824,5
825,5
826,2
827,1
828,0
829,4
830,1
831,0
832,4
833,1
834,5
835,1
836,5
837,2
838,1
839,3
840,0
841,3
842,4
843,1
844,5
845,1
846,0
847,3
848,2
849,3
850,4
851,1
852,2
853,2
854,4
855,0
856,0
857,3
858,1
859,5
860,5
861,1
862,4
863,4
864,4
865,4
866,3
867,0
868,4
869,5
870,1
871,5
872,3
873,1
874,2
875,0
876,4
877,0
878,1
879,5
880,1
881,2
882,4
883,0
884,3
885,2
886,2
887,0
888,2
889,0
890,0
891,1
892,3
893,0
894,2
895,5
896,3
897,2
898,3
899,2
900,5
901,3
902,0
903,3
904,5
905,4
906,3
907,1
908,4
909,4
910,4
911,0
912,1
913,4
914,3
915,3
916,0
917,1
918,2
919,2
920,0
921,0
922,2
923,2
924,3
925,1
926,5
927,2
928,0
929,3
930,4
931,2
932,2
933,2
934,5
935,0
936,5
937,2
938,0
939,2
940,0
941,1
942,3
943,4
944,0
945,1
946,1
947,0
948,4
949,0
950,2
951,4
952,3
953,1
954,2
955,4
956,1
957,1
958,2
959,1
960,2
961,1
962,1
963,3
964,0
965,3
966,4
967,2
968,2
969,2
970,5
971,0
972,5
973,0
974,5
975,0
976,4
977,4
978,3
979,4
980,0
981,3
982,4
983,0
984,4
985,1
986,2
987,0
988,1
989,5
990,2
991,3
992,0
993,0
994,4
995,2
996,2
997,1
998,2
999,2
1000,0
1001,3
1002,0
1003,5
1004,0
1005,2
1006,5
1007,0
1008,0
1009,3
1010,4
1011,2
1012,0
1013,2
1014,5
1015,1
1016,4
1017,4
1018,2
1019,4
1020,5
1021,2
1022,2
1023,4
1024,5
1025,5
1026,4
1027,5
1028,5
1029,1
1030,4
1031,1
1032,1
1033,0
1034,4
1035,0
1036,1
1037,4
1038,3
1039,4
1040,2
1041,3
1042,4
1043,2
1044,1
1045,5
1046,3
1047,5
1048,0
1049,3
1050,4
1051,2
1052,2
1053,0
1054,5
1055,2
1056,1
1057,2
1058,1
1059,3
1060,3
1061,5
1062,0
1063,4
1064,5
1065,2
1066,2
1067,5
1068,3
1069,5
1070,0
1071,0
1072,2
1073,1
1074,0
1075,4
1076,4
1077,3
1078,1
1079,4
1080,4
1081,4
1082,0
1083,3
1084,3
1085,5
1086,1
1087,5
1088,4
1089,2
1090,1
1091,3
1092,3
1093,5
1094,5
1095,2
1096,0
1097,5
1098,0
1099,0
1100,5
1101,2
1102,3
1103,2
1104,2
1105,4
1106,0
1107,2
1108,5
1109,2
1110,1
1111,5
1112,0
1113,1
1114,1
1115,4
1116,2
1117,5
1118,0
1119,2
1120,5
1121,4
1122,3
1123,0
1124,3
1125,5
1126,0
1127,0
1128,3
1129,5
1130,3
1131,4
1132,5
1133,4
1134,3
1135,0
1136,2
1137,1
1138,3
1139,2
1140,2
1141,4
1142,2
1143,0
1144,1
1145,5
1146,1
1147,3
1148,1
1149,3
1150,5
1151,5
1152,4
1153,3
1154,5
1155,4
1156,2
1157,1
1158,2
1159,1
1160,4
1161,0
1162,3
1163,3
1164,2
1165,0
1166,4
1167,0
1168,0
1169,1
1170,0
1171,2
1172,0
1173,5
1174,5
1175,0
1176,0
1177,2
1178,2
1179,4
1180,0
1181,4
1182,0
1183,0
1184,1
1185,5
1186,0
1187,5
1188,1
1189,5
1190,5
1191,5
1192,2
1193,1
1194,4
1195,0
1196,2
1197,3
1198,0
1199,4
1200,4
1201,1
1202,5
1203,2
1204,4
1205,0
1206,5
1207,2
1208,1
1209,5
1210,1
1211,1
1212,3
1213,3
1214,1
1215,2
1216,2
1217,4
1218,4
1219,3
1220,4
1221,2
1222,0
1223,0
1224,5
1225,1
1226,3
1227,4
1228,2
1229,5
